OBJECTID *,Shape *,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
535,Polygon,Nkwerre,NG017014,Nkwerre,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.274612,0.002861
536,Polygon,Nnewi North,NG004014,Nnewi North,<Null>,<Null>,Anambra South,NG00403,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.33104,0.005602
537,Polygon,Nnewi South,NG004015,Nnewi South,<Null>,<Null>,Anambra South,NG00403,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.55923,0.012596
538,Polygon,Nsit Atai,NG003019,Nsit Atai,<Null>,<Null>,Akwa Ibom North East,NG00301,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.516742,0.010657
539,Polygon,Nsit Ibom,NG003020,Nsit Ibom,<Null>,<Null>,Akwa Ibom North East,NG00301,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.532428,0.010652
540,Polygon,Nsit Ubium,NG003021,Nsit Ubium,<Null>,<Null>,Akwa Ibom North East,NG00301,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.626367,0.016379
541,Polygon,Nsukka,NG014013,Nsukka,<Null>,<Null>,Enugu North,NG01401,Enugu,NG014,Nigeria,NG,11/29/16,4/17/19,<Null>,1.444727,0.045512
542,Polygon,Numan,NG002016,Numan,<Null>,<Null>,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,11/29/16,4/17/19,<Null>,1.602772,0.068704
543,Polygon,Nwangele,NG017015,Nwangele,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.36642,0.005686
544,Polygon,Obafemi-Owode,NG028015,Obafemi-Owode,<Null>,<Null>,Ogun Central,NG02801,Ogun,NG028,Nigeria,NG,11/29/16,4/17/19,<Null>,1.77917,0.120672
545,Polygon,Obanliku,NG009013,Obanliku,<Null>,<Null>,Cross River North,NG00902,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,1.42014,0.07673
546,Polygon,Obi,NG007014,Obi,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,0.899677,0.040675
547,Polygon,Obi,NG026011,Obi,<Null>,<Null>,Nassarawa South,NG02601,Nasarawa,NG026,Nigeria,NG,11/29/16,4/17/19,<Null>,1.500567,0.083436
548,Polygon,Obi Ngwa,NG001009,Obi Ngwa,<Null>,<Null>,Abia South,NG00103,Abia,NG001,Nigeria,NG,11/29/16,4/17/19,<Null>,0.877278,0.032944
549,Polygon,Obia/Akpor,NG033015,Obia/Akpor,<Null>,<Null>,Rivers East,NG03301,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.817311,0.021005
550,Polygon,Obokun,NG030024,Obokun,<Null>,<Null>,Osun East,NG03002,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.896861,0.041651
551,Polygon,Obot Akara,NG003022,Obot Akara,<Null>,<Null>,Akwa Ibom North West,NG00302,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.635477,0.019157
552,Polygon,Obowo,NG017016,Obowo,<Null>,<Null>,Imo North,NG01702,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.378997,0.007054
553,Polygon,Obubra,NG009014,Obubra,<Null>,<Null>,Cross River Central,NG00901,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,1.794293,0.093491
554,Polygon,Obudu,NG009015,Obudu,<Null>,<Null>,Cross River North,NG00902,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,0.885029,0.038245
555,Polygon,Odeda,NG028016,Odeda,<Null>,<Null>,Ogun Central,NG02801,Ogun,NG028,Nigeria,NG,11/29/16,4/17/19,<Null>,1.920277,0.117553
556,Polygon,Odigbo,NG029013,Odigbo,<Null>,<Null>,Ondo South,NG02903,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,2.495137,0.153647
557,Polygon,Odo-Otin,NG030025,Odo-Otin,<Null>,<Null>,Osun Central,NG03001,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.74657,0.023861
558,Polygon,Odogbolu,NG028017,Odogbolu,<Null>,<Null>,Ogun East,NG02802,Ogun,NG028,Nigeria,NG,11/29/16,4/17/19,<Null>,0.933346,0.044794
559,Polygon,Odukpani,NG009016,Odukpani,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,2.374509,0.110488
560,Polygon,Offa,NG024013,Offa,<Null>,<Null>,Kwara Central,NG02401,Kwara,NG024,Nigeria,NG,11/29/16,4/17/19,<Null>,0.387387,0.007738
561,Polygon,Ofu,NG023014,Ofu,<Null>,<Null>,Kogi East,NG02302,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,2.42394,0.140479
562,Polygon,Ogba/Egbema/Ndoni,NG033016,Ogba/Egbema/Ndoni,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,1.733889,0.078193
563,Polygon,Ogbadibo,NG007015,Ogbadibo,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.023937,0.04933
564,Polygon,Ogbaru,NG004016,Ogbaru,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,1.137469,0.04228
565,Polygon,Ogbia,NG006005,Ogbia,<Null>,<Null>,Bayelsa East,NG00602,Bayelsa,NG006,Nigeria,NG,11/29/16,4/17/19,<Null>,1.099634,0.055279
566,Polygon,Ogbomosho North,NG031021,Ogbomosho North,<Null>,<Null>,Oyo North,NG03102,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,0.395902,0.007476
567,Polygon,Ogbomosho South,NG031022,Ogbomosho South,<Null>,<Null>,Oyo North,NG03102,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,0.275539,0.002378
568,Polygon,Ogo Oluwa,NG031023,Ogo Oluwa,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,0.852566,0.030757
569,Polygon,Ogoja,NG009017,Ogoja,<Null>,<Null>,Cross River North,NG00902,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,1.657667,0.074623
570,Polygon,Ogori/Magongo,NG023015,Ogori/Magongo,<Null>,<Null>,Kogi Central,NG02301,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,0.345357,0.006497
571,Polygon,Ogu/Bolo,NG033017,Ogu/Bolo,<Null>,<Null>,Rivers East,NG03301,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.601465,0.010596
572,Polygon,Ogun waterside,NG028018,Ogun waterside,<Null>,<Null>,Ogun East,NG02802,Ogun,NG028,Nigeria,NG,11/29/16,4/17/19,<Null>,1.815678,0.079252
573,Polygon,Oguta,NG017017,Oguta,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.868206,0.034468
574,Polygon,Ohafia,NG001010,Ohafia,<Null>,<Null>,Abia North,NG00102,Abia,NG001,Nigeria,NG,11/29/16,4/17/19,<Null>,0.946686,0.035926
575,Polygon,Ohaji/Egbema,NG017018,Ohaji/Egbema,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,1.350536,0.073099
576,Polygon,Ohaozara,NG011011,Ohaozara,<Null>,<Null>,Ebonyi South,NG01101,Ebonyi,NG011,Nigeria,NG,11/29/16,4/17/19,<Null>,0.862302,0.027228
577,Polygon,Ohaukwu,NG011012,Ohaukwu,<Null>,<Null>,Ebonyi North,NG01103,Ebonyi,NG011,Nigeria,NG,11/29/16,4/17/19,<Null>,1.179983,0.049256
578,Polygon,Ohimini,NG007016,Ohimini,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.003114,0.049022
579,Polygon,Oji-River,NG014014,Oji-River,<Null>,<Null>,Enugu West,NG01403,Enugu,NG014,Nigeria,NG,11/29/16,4/17/19,<Null>,0.939127,0.03361
580,Polygon,Ojo,NG025017,Ojo,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,11/29/16,4/17/19,<Null>,0.668769,0.013216
581,Polygon,Oju,NG007017,Oju,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.629826,0.097379
582,Polygon,Oke-Ero,NG024014,Oke-Ero,<Null>,<Null>,Kwara South,NG02403,Kwara,NG024,Nigeria,NG,11/29/16,4/17/19,<Null>,1.1755,0.035749
583,Polygon,Okehi,NG023016,Okehi,<Null>,<Null>,Kogi Central,NG02301,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,1.373457,0.054187
584,Polygon,Okene,NG023017,Okene,<Null>,<Null>,Kogi Central,NG02301,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,1.005274,0.024438
585,Polygon,Okigwe,NG017019,Okigwe,<Null>,<Null>,Imo North,NG01702,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.785735,0.025058
586,Polygon,Okitipupa,NG029014,Okitipupa,<Null>,<Null>,Ondo South,NG02903,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,1.299822,0.069954
587,Polygon,Okobo,NG003023,Okobo,<Null>,<Null>,Akwa Ibom South,NG00303,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.711862,0.024543
588,Polygon,Okpe,NG010013,Okpe,<Null>,<Null>,Delta Central,NG01001,Delta,NG010,Nigeria,NG,11/29/16,4/17/19,<Null>,1.174791,0.039208
589,Polygon,Okpokwu,NG007018,Okpokwu,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.412826,0.075666
590,Polygon,Okrika,NG033018,Okrika,<Null>,<Null>,Rivers East,NG03301,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.94748,0.023344
591,Polygon,Ola-oluwa,NG030026,Ola-oluwa,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.702348,0.026731
592,Polygon,Olamabolo,NG023018,Olamabolo,<Null>,<Null>,Kogi East,NG02302,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,1.467109,0.081089
593,Polygon,Olorunda,NG030027,Olorunda,<Null>,<Null>,Osun Central,NG03001,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.548402,0.008895
594,Polygon,Olorunsogo,NG031024,Olorunsogo,<Null>,<Null>,Oyo North,NG03102,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.38662,0.086915
595,Polygon,Oluyole,NG031025,Oluyole,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.016013,0.054686
596,Polygon,Omala,NG023019,Omala,<Null>,<Null>,Kogi East,NG02302,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,1.635655,0.130481
597,Polygon,Omumma,NG033019,Omumma,<Null>,<Null>,Rivers East,NG03301,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.599861,0.012947
598,Polygon,Ona-Ara,NG031026,Ona-Ara,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,0.842972,0.027215
599,Polygon,Ondo East,NG029015,Ondo East,<Null>,<Null>,Ondo Central,NG02901,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,1.406148,0.036711
600,Polygon,Ondo West,NG029016,Ondo West,<Null>,<Null>,Ondo Central,NG02901,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,1.338728,0.078508
601,Polygon,Onicha,NG011013,Onicha,<Null>,<Null>,Ebonyi South,NG01101,Ebonyi,NG011,Nigeria,NG,11/29/16,4/17/19,<Null>,1.267147,0.035882
602,Polygon,Onitsha North,NG004017,Onitsha North,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.254337,0.003073
603,Polygon,Onitsha South,NG004018,Onitsha South,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.126354,0.00081
604,Polygon,Onna,NG003024,Onna,<Null>,<Null>,Akwa Ibom South,NG00303,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.654078,0.013359
605,Polygon,Opobo/Nkoro,NG033020,Opobo/Nkoro,<Null>,<Null>,Rivers South East,NG03302,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.514515,0.009367
606,Polygon,Oredo,NG012012,Oredo,<Null>,<Null>,Edo South,NG01201,Edo,NG012,Nigeria,NG,11/29/16,4/17/19,<Null>,0.75639,0.020462
607,Polygon,Orelope,NG031027,Orelope,<Null>,<Null>,Oyo North,NG03102,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.274656,0.074929
608,Polygon,Orhionmwon,NG012013,Orhionmwon,<Null>,<Null>,Edo South,NG01201,Edo,NG012,Nigeria,NG,11/29/16,4/17/19,<Null>,2.432419,0.196927
609,Polygon,Ori Ire,NG031028,Ori Ire,<Null>,<Null>,Oyo North,NG03102,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.937569,0.166944
610,Polygon,Oriade,NG030028,Oriade,<Null>,<Null>,Osun East,NG03002,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,1.094542,0.037734
611,Polygon,Orlu,NG017020,Orlu,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.506815,0.010019
612,Polygon,Orolu,NG030029,Orolu,<Null>,<Null>,Osun Central,NG03001,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.42825,0.008957
613,Polygon,Oron,NG003025,Oron,<Null>,<Null>,Akwa Ibom South,NG00303,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.295065,0.00425
614,Polygon,Orsu,NG017021,Orsu,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.359738,0.006129
615,Polygon,Oru East,NG017022,Oru East,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.621516,0.010728
616,Polygon,Oru West,NG017023,Oru West,<Null>,<Null>,Imo West,NG01703,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.496547,0.007898
617,Polygon,Oruk Anam,NG003026,Oruk Anam,<Null>,<Null>,Akwa Ibom North West,NG00302,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,1.043442,0.044384
618,Polygon,Orumba North,NG004019,Orumba North,<Null>,<Null>,Anambra South,NG00403,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.942611,0.026222
619,Polygon,Orumba South,NG004020,Orumba South,<Null>,<Null>,Anambra South,NG00403,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.726567,0.015375
620,Polygon,Ose,NG029017,Ose,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,2.115287,0.116654
621,Polygon,Oshimili North,NG010014,Oshimili North,<Null>,<Null>,Delta North,NG01002,Delta,NG010,Nigeria,NG,11/29/16,4/17/19,<Null>,1.029924,0.041696
622,Polygon,Oshimili South,NG010015,Oshimili South,<Null>,<Null>,Delta North,NG01002,Delta,NG010,Nigeria,NG,11/29/16,4/17/19,<Null>,0.90427,0.021765
623,Polygon,Oshodi-Isolo,NG025018,Oshodi-Isolo,<Null>,<Null>,Lagos West,NG02501,sokoto,NG025,Nigeria,NG,11/29/16,4/17/19,<Null>,0.315352,0.003608
624,Polygon,Osisioma Ngwa,NG001011,Osisioma Ngwa,<Null>,<Null>,Abia South,NG00103,Abia,NG001,Nigeria,NG,11/29/16,4/17/19,<Null>,0.604804,0.014254
625,Polygon,Osogbo,NG030030,Osogbo,<Null>,<Null>,Osun Central,NG03001,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.36162,0.004999
626,Polygon,Oturkpo,NG007019,Oturkpo,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.999926,0.111623
627,Polygon,Ovia North East,NG012014,Ovia North East,<Null>,<Null>,Edo South,NG01201,Edo,NG012,Nigeria,NG,11/29/16,4/17/19,<Null>,3.271525,0.191135
628,Polygon,Ovia South West,NG012015,Ovia South West,<Null>,<Null>,Edo South,NG01201,Edo,NG012,Nigeria,NG,11/29/16,4/17/19,<Null>,2.666182,0.226598
629,Polygon,Owan East,NG012016,Owan East,<Null>,<Null>,Edo North,NG01203,Edo,NG012,Nigeria,NG,11/29/16,4/17/19,<Null>,1.51909,0.100512
630,Polygon,Owan West,NG012017,Owan West,<Null>,<Null>,Edo North,NG01203,Edo,NG012,Nigeria,NG,11/29/16,4/17/19,<Null>,1.151283,0.060537
631,Polygon,Owerri-Municipal,NG017026,Owerri-Municipal,<Null>,<Null>,Imo East,NG01701,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.28891,0.004594
632,Polygon,Owerri North,NG017024,Owerri North,<Null>,<Null>,Imo East,NG01701,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.702086,0.015826
633,Polygon,Owerri West,NG017025,Owerri West,<Null>,<Null>,Imo East,NG01701,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.881805,0.023362
634,Polygon,Owo,NG029018,Owo,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,1.497398,0.093185
635,Polygon,Oye,NG013016,Oye,<Null>,<Null>,Ekiti North,NG01303,Ekiti,NG013,Nigeria,NG,11/29/16,4/17/19,<Null>,0.83278,0.041474
636,Polygon,Oyi,NG004021,Oyi,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.461526,0.011037
637,Polygon,Oyigbo,NG033021,Oyigbo,<Null>,<Null>,Rivers South East,NG03302,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.921945,0.02016
638,Polygon,Oyo East,NG031029,Oyo East,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.065473,0.029295
639,Polygon,Oyo West,NG031030,Oyo West,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.358344,0.048842
640,Polygon,Oyun,NG024015,Oyun,<Null>,<Null>,Kwara South,NG02403,Kwara,NG024,Nigeria,NG,11/29/16,4/17/19,<Null>,1.447185,0.041748
641,Polygon,Paikoro,NG027019,Paikoro,<Null>,<Null>,Niger East,NG02701,Niger,NG027,Nigeria,NG,11/29/16,4/17/19,<Null>,2.825876,0.171981
642,Polygon,Pankshin,NG032013,Pankshin,<Null>,<Null>,Plateau Central,NG03201,Plateau,NG032,Nigeria,NG,11/29/16,4/17/19,<Null>,2.043543,0.118058
643,Polygon,Patani,NG010016,Patani,<Null>,<Null>,Delta South,NG01003,Delta,NG010,Nigeria,NG,11/29/16,4/17/19,<Null>,0.946751,0.018438
644,Polygon,Pategi,NG024016,Pategi,<Null>,<Null>,Kwara North,NG02402,Kwara,NG024,Nigeria,NG,11/29/16,4/17/19,<Null>,2.221701,0.238928
